usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;Index;Annee_naissance;Enfnat_en_conduite;Presence_enfant;plage_revenu;Valeur_residence;Point_perdu
Private;Minivan;yes;3;18.0;Highly Urban/ Urban;16/11/2021;complet;dev_integral;1;1981;Non;Non;50k-75k€;0-75k€;0-4pts
Commercial;Minivan;yes;0;1.0;Highly Urban/ Urban;04/09/2020;complet;dev_integral;2;1985;Non;Non;75k-100k€;+200k€;0-4pts
Private;Van;yes;2;10.0;Highly Urban/ Urban;12/01/2020;complet;dev_express;3;1941;Non;Non;50k-75k€;0-75k€;0-4pts
Private;z_SUV;no;3;10.0;Highly Urban/ Urban;31/07/2020;complet;dev_premium;4;1963;Non;Oui;0-25k€;75-150k€;0-4pts
Private;Minivan;yes;0;6.0;Highly Urban/ Urban;24/02/2020;incomplet;dev_premium;5;1984;Non;Non;-;+200k€;0-4pts
Private;z_SUV;no;3;17.0;Highly Urban/ Urban;26/11/2020;incomplet;dev_express;6;2013;Non;Non;+100k€;+200k€;0-4pts
Commercial;Sports Car;no;0;7.0;Highly Urban/ Urban;25/02/2022;complet;dev_integral;7;1999;Non;Oui;+100k€;0-75k€;0-4pts
Private;z_SUV;no;0;1.0;Highly Urban/ Urban;25/02/2022;incomplet;dev_premium;8;1959;Non;Non;0-25k€;-;0-4pts
Private;Minivan;no;2;1.0;Highly Urban/ Urban;24/05/2022;complet;dev_express;9;1932;Oui;Oui;50k-75k€;0-75k€;0-4pts
Commercial;z_SUV;no;0;10.0;z_Highly Rural/ Rural;13/03/2020;complet;dev_integral;10;1971;Non;Oui;25k-50k€;0-75k€;0-4pts
Commercial;Van;yes;10;7.0;Highly Urban/ Urban;01/07/2020;complet;dev_premium;11;2018;Oui;Oui;+100k€;+200k€;8-12pts
Private;z_SUV;no;0;1.0;Highly Urban/ Urban;31/10/2019;complet;dev_express;12;1934;Non;Non;50k-75k€;0-75k€;0-4pts
Commercial;Van;no;1;17.0;z_Highly Rural/ Rural;25/08/2019;complet;dev_integral;13;2008;Non;Non;+100k€;0-75k€;0-4pts
Private;Sports Car;no;0;11.0;Highly Urban/ Urban;15/12/2021;complet;dev_integral;14;1948;Non;Non;75k-100k€;0-75k€;0-4pts
Private;Minivan;no;0;1.0;z_Highly Rural/ Rural;11/08/2019;complet;dev_premium;15;1977;Non;Non;50k-75k€;+200k€;0-4pts
Commercial;Van;yes;3;9.0;Highly Urban/ Urban;10/07/2021;complet;dev_integral;16;1952;Non;Non;50k-75k€;150-200k€;0-4pts
Commercial;Panel Truck;yes;3;10.0;Highly Urban/ Urban;15/06/2020;complet;dev_premium;17;1966;Non;Non;+100k€;0-75k€;0-4pts
Private;Pickup;no;0;4.0;z_Highly Rural/ Rural;24/01/2022;complet;dev_express;18;1978;Non;Oui;0-25k€;0-75k€;0-4pts
Private;z_SUV;no;3;5.0;Highly Urban/ Urban;20/04/2022;complet;dev_integral;19;2021;Non;Non;0-25k€;75-150k€;0-4pts
Private;z_SUV;no;0;13.0;z_Highly Rural/ Rural;05/10/2020;complet;dev_express;20;1984;Non;Oui;50k-75k€;150-200k€;0-4pts
Private;Minivan;yes;4;1.0;Highly Urban/ Urban;30/04/2021;complet;dev_integral;21;1959;Non;Non;75k-100k€;0-75k€;0-4pts
Private;Minivan;no;0;16.0;Highly Urban/ Urban;27/08/2020;incomplet;dev_integral;22;1967;Non;Non;50k-75k€;150-200k€;0-4pts
Private;z_SUV;no;0;20.0;Highly Urban/ Urban;27/11/2019;complet;dev_premium;23;1953;Non;Oui;25k-50k€;75-150k€;0-4pts
Private;Minivan;no;0;7.0;Highly Urban/ Urban;02/05/2020;incomplet;dev_express;24;1952;Non;Oui;0-25k€;75-150k€;0-4pts
Commercial;z_SUV;no;0;1.0;Highly Urban/ Urban;11/08/2021;complet;dev_premium;25;2012;Non;Oui;25k-50k€;150-200k€;0-4pts
Commercial;Panel Truck;yes;3;1.0;Highly Urban/ Urban;24/05/2021;complet;dev_integral;26;1971;Non;Non;25k-50k€;-;0-4pts
Private;z_SUV;no;5;14.0;Highly Urban/ Urban;30/04/2019;complet;dev_premium;27;1981;Non;Non;75k-100k€;+200k€;4-8pts
Private;Minivan;no;1;5.0;Highly Urban/ Urban;03/01/2021;complet;dev_premium;28;1984;Non;Non;25k-50k€;0-75k€;0-4pts
Private;z_SUV;no;0;11.0;Highly Urban/ Urban;16/09/2021;complet;dev_express;29;2015;Oui;Oui;0-25k€;75-150k€;0-4pts
Commercial;Panel Truck;no;2;12.0;Highly Urban/ Urban;23/03/2022;complet;dev_vip;30;1956;Non;Non;-;+200k€;0-4pts
Commercial;Sports Car;no;0;1.0;Highly Urban/ Urban;17/05/2019;complet;dev_premium;31;1954;Non;Non;25k-50k€;150-200k€;0-4pts
Private;z_SUV;no;2;15.0;z_Highly Rural/ Rural;23/03/2022;complet;dev_premium;32;1992;Non;Oui;75k-100k€;+200k€;0-4pts
Private;z_SUV;no;0;1.0;Highly Urban/ Urban;23/05/2021;complet;dev_premium;33;1994;Non;Oui;25k-50k€;75-150k€;0-4pts
Private;Minivan;no;0;12.0;Highly Urban/ Urban;14/03/2021;complet;dev_integral;34;1953;Oui;Oui;25k-50k€;+200k€;0-4pts
Private;z_SUV;no;3;12.0;Highly Urban/ Urban;23/10/2019;complet;dev_express;35;1985;Non;Non;50k-75k€;0-75k€;0-4pts
Private;z_SUV;no;4;12.0;z_Highly Rural/ Rural;29/05/2021;complet;dev_premium;36;1997;Non;Oui;-;75-150k€;0-4pts
Commercial;Panel Truck;no;5;;Highly Urban/ Urban;15/10/2021;complet;dev_express;37;2020;Non;Non;25k-50k€;150-200k€;4-8pts
Private;Minivan;no;1;1.0;Highly Urban/ Urban;05/08/2021;complet;dev_express;38;1967;Non;Non;25k-50k€;150-200k€;0-4pts
Commercial;Minivan;no;0;9.0;z_Highly Rural/ Rural;13/03/2022;complet;dev_express;39;1941;Oui;Oui;+100k€;+200k€;0-4pts
Private;z_SUV;no;1;10.0;Highly Urban/ Urban;09/03/2022;complet;dev_premium;40;1956;Non;Non;50k-75k€;+200k€;0-4pts
Commercial;Panel Truck;no;5;15.0;Highly Urban/ Urban;07/07/2019;complet;dev_premium;41;1956;Non;Non;75k-100k€;+200k€;4-8pts
Commercial;Van;yes;0;13.0;Highly Urban/ Urban;28/08/2019;complet;dev_integral;42;1954;Non;Non;25k-50k€;+200k€;0-4pts
Private;Minivan;no;0;12.0;z_Highly Rural/ Rural;05/04/2020;complet;dev_integral;43;1965;Non;Non;0-25k€;0-75k€;0-4pts
Private;Minivan;no;0;14.0;Highly Urban/ Urban;29/01/2022;complet;dev_premium;44;1956;Non;Non;+100k€;+200k€;0-4pts
Private;z_SUV;no;2;9.0;z_Highly Rural/ Rural;05/10/2019;complet;dev_integral;45;2021;Non;Non;25k-50k€;75-150k€;0-4pts
Commercial;Van;no;0;15.0;Highly Urban/ Urban;13/07/2019;complet;dev_express;46;1978;Non;Oui;+100k€;+200k€;0-4pts
Private;Sports Car;no;3;1.0;Highly Urban/ Urban;11/09/2021;complet;dev_integral;47;1992;Non;Non;+100k€;0-75k€;0-4pts
Private;z_SUV;no;0;11.0;Highly Urban/ Urban;01/04/2020;complet;dev_integral;48;1958;Non;Non;+100k€;+200k€;0-4pts
Commercial;z_SUV;no;1;6.0;z_Highly Rural/ Rural;29/05/2021;complet;dev_express;49;2005;Non;Non;0-25k€;75-150k€;0-4pts
Commercial;Pickup;no;0;7.0;Highly Urban/ Urban;28/03/2019;complet;dev_integral;50;1936;Non;Non;0-25k€;0-75k€;0-4pts
Private;Sports Car;no;0;8.0;Highly Urban/ Urban;25/06/2021;complet;dev_express;51;1981;Non;Non;75k-100k€;+200k€;0-4pts
Private;Minivan;no;0;1.0;z_Highly Rural/ Rural;22/06/2019;complet;dev_express;52;1955;Non;Non;25k-50k€;0-75k€;0-4pts
Commercial;Panel Truck;yes;1;5.0;Highly Urban/ Urban;23/05/2021;complet;dev_premium;53;1957;Non;Non;50k-75k€;150-200k€;0-4pts
Commercial;Minivan;yes;2;5.0;Highly Urban/ Urban;29/12/2020;complet;dev_integral;54;1956;Non;Oui;25k-50k€;150-200k€;0-4pts
Commercial;z_SUV;no;5;;Highly Urban/ Urban;16/10/2019;complet;dev_integral;55;1949;Non;Non;0-25k€;0-75k€;4-8pts
Private;Minivan;yes;0;15.0;Highly Urban/ Urban;03/07/2020;complet;dev_express;56;1968;Non;Non;+100k€;+200k€;0-4pts
Private;z_SUV;no;0;5.0;z_Highly Rural/ Rural;21/08/2020;complet;dev_express;57;1963;Non;Oui;25k-50k€;150-200k€;0-4pts
Private;Minivan;yes;3;1.0;Highly Urban/ Urban;09/08/2020;complet;dev_express;58;2016;Non;Oui;25k-50k€;150-200k€;0-4pts
Private;Minivan;yes;0;;Highly Urban/ Urban;14/06/2019;complet;dev_premium;59;2015;Non;Non;+100k€;-;0-4pts
Commercial;Minivan;no;2;11.0;z_Highly Rural/ Rural;17/10/2021;incomplet;dev_integral;60;1987;Non;Non;50k-75k€;150-200k€;0-4pts
Commercial;Pickup;yes;13;6.0;Highly Urban/ Urban;27/04/2019;complet;dev_premium;61;1961;Non;Non;0-25k€;0-75k€;8-12pts
Private;Minivan;yes;2;1.0;Highly Urban/ Urban;10/07/2020;incomplet;dev_integral;62;1969;Non;Oui;0-25k€;75-150k€;0-4pts
Commercial;Sports Car;no;0;;Highly Urban/ Urban;06/10/2019;complet;dev_integral;63;1957;Oui;Oui;-;0-75k€;0-4pts
Private;Minivan;no;2;16.0;Highly Urban/ Urban;18/08/2021;incomplet;dev_integral;64;1982;Non;Oui;50k-75k€;75-150k€;0-4pts
Private;z_SUV;no;1;1.0;Highly Urban/ Urban;01/01/2020;complet;dev_integral;65;1970;Non;Oui;0-25k€;75-150k€;0-4pts
Private;Minivan;yes;0;6.0;Highly Urban/ Urban;13/05/2020;complet;dev_premium;66;1964;Non;Non;25k-50k€;150-200k€;0-4pts
Private;Van;no;0;13.0;Highly Urban/ Urban;18/10/2020;complet;dev_express;67;1990;Oui;Oui;50k-75k€;150-200k€;0-4pts
Private;Minivan;yes;0;1.0;z_Highly Rural/ Rural;03/12/2020;complet;dev_integral;68;2015;Non;Oui;0-25k€;75-150k€;0-4pts
Commercial;Panel Truck;yes;1;10.0;Highly Urban/ Urban;26/03/2022;complet;dev_integral;69;1974;Non;Non;-;+200k€;0-4pts
Private;Minivan;no;0;10.0;Highly Urban/ Urban;26/05/2022;complet;dev_express;70;1967;Oui;Oui;0-25k€;0-75k€;0-4pts
Private;z_SUV;no;0;1.0;Highly Urban/ Urban;27/01/2022;complet;dev_premium;71;2017;Non;Oui;0-25k€;75-150k€;0-4pts
Private;z_SUV;no;0;8.0;Highly Urban/ Urban;23/03/2021;complet;dev_integral;72;1949;Non;Oui;50k-75k€;75-150k€;0-4pts
Private;Sports Car;no;2;10.0;Highly Urban/ Urban;26/03/2021;complet;dev_integral;73;1961;Non;Non;0-25k€;75-150k€;0-4pts
Private;Pickup;no;2;1.0;Highly Urban/ Urban;08/07/2019;complet;dev_express;74;2019;Oui;Oui;0-25k€;0-75k€;0-4pts
Private;z_SUV;no;4;4.0;Highly Urban/ Urban;06/02/2020;complet;dev_express;75;1999;Non;Oui;-;0-75k€;0-4pts
Private;Sports Car;no;8;;Highly Urban/ Urban;19/05/2021;complet;dev_express;76;1963;Oui;Oui;25k-50k€;150-200k€;4-8pts
Private;Sports Car;no;0;15.0;Highly Urban/ Urban;21/03/2021;complet;dev_premium;77;1971;Oui;Oui;+100k€;0-75k€;0-4pts
Commercial;Panel Truck;no;2;18.0;Highly Urban/ Urban;13/11/2019;complet;dev_integral;78;1978;Non;Non;-;0-75k€;0-4pts
Private;Minivan;no;2;11.0;Highly Urban/ Urban;10/12/2020;complet;dev_express;79;1957;Non;Non;75k-100k€;0-75k€;0-4pts
Private;z_SUV;no;6;20.0;Highly Urban/ Urban;12/05/2021;complet;dev_express;80;1965;Non;Oui;+100k€;+200k€;4-8pts
Commercial;Panel Truck;yes;1;12.0;Highly Urban/ Urban;19/08/2020;complet;dev_premium;81;2004;Non;Non;-;+200k€;0-4pts
Commercial;Pickup;yes;0;;Highly Urban/ Urban;17/06/2020;complet;dev_premium;82;1981;Non;Non;50k-75k€;+200k€;0-4pts
